商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
极地物种哆啦A梦贝壳蓝牙音响灯浪漫箱礼物氛围生日节日创意高级,250525-112763891321614,待付款,125.0	,0.0	,0.0	,0.0	,0.0	,125.0	,125.0	,1	,	,	,698660773745	,"浪漫人间+多功能音响+梦幻投影,【正版授权哆啦A梦】",1693618941656	,	,无售后或售后取消,	,	,	,	,,	,
天气预报瓶风暴瓶生日礼物精致礼品礼盒送男女生创意摆件高档礼品,250525-455417556602951,已发货，待收货,54.7	,0.0	,0.0	,0.0	,0.0	,54.7	,54.7	,1	,2025-05-26 09:36:30,	,474708832086	,风暴瓶+底座+定制精美礼盒+代写贺卡,1378390689206	,	,无售后或售后取消,78508027272285	,中通快递,2025-05-25 18:14:36,否,,	,
极地物种哆啦A梦贝壳蓝牙音响灯浪漫箱礼物氛围生日节日创意高级,250525-032401047943898,已发货，待收货,125.0	,0.0	,0.0	,6.25	,0.0	,118.75	,125.0	,1	,2025-05-26 09:36:23,	,698660773745	,"奔赴山海+多功能音响+梦幻投影,【正版授权哆啦A梦】",1693619049222	,	,无售后或售后取消,78508027355232	,中通快递,2025-05-25 17:16:07,否,,	,
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-021999204700083,已发货，待收货,118.0	,0.0	,0.0	,0.0	,0.0	,118.0	,118.0	,1	,2025-05-25 16:57:38,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【生日礼袋+三年质保】",1599020975755	,	,无售后或售后取消,78507908717457	,中通快递,2025-05-25 16:37:27,否,,	,
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-052156219740083,待付款,118.0	,0.0	,0.0	,0.0	,0.0	,118.0	,118.0	,1	,	,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【生日礼袋+三年质保】",1599020975755	,	,无售后或售后取消,	,	,	,	,,	,
equra保温杯大容量316不锈钢食品级便携男女生高档咖啡杯随行车用,250525-198076034621266,已发货，待收货,130.6	,0.0	,6.53	,0.0	,0.0	,124.07	,124.07	,2	,2025-05-25 16:57:38,	,408062523433	,樱粉520ml+双饮口+送吸管,1562179619369	,	,无售后或售后取消,78507908697804	,中通快递,2025-05-25 16:28:11,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-487105502750616,已发货，待收货,99.0	,0.0	,0.0	,0.0	,0.0	,99.0	,99.0	,1	,2025-05-25 16:38:45,	,652250629853	,【蓝月】蓝牙音响+多彩投影+生日快乐,1715392261228	,	,无售后或售后取消,78507912746596	,中通快递,2025-05-25 14:45:52,否,,	,
贝壳送女朋友生日礼物男自动香薰机小型精油加湿器小众创意氛围灯,250525-550418594131778,未发货，退款成功,99.0	,0.0	,10.0	,4.58	,0.0	,84.42	,89.0	,1	,	,	,742966195638	,"珍珠白【礼盒礼袋+可写贺卡】,香薰+加湿+氛围灯+摆件",1733206616758	,	,退款成功,	,	,2025-05-25 14:11:34,否,,	,
天气预报瓶风暴瓶生日礼物精致礼品礼盒送男女生创意摆件高档礼品,250525-459527964193163,已发货，待收货,54.7	,0.0	,0.0	,0.0	,0.0	,54.7	,54.7	,1	,2025-05-25 16:38:46,	,474708832086	,风暴瓶+底座+定制精美礼盒+代写贺卡,1378390689206	,	,无售后或售后取消,78507912603526	,中通快递,2025-05-25 13:36:05,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-669306099230616,未发货，退款成功,99.0	,0.0	,0.0	,0.0	,0.0	,99.0	,99.0	,1	,	,	,652250629853	,【蓝月】蓝牙音响+多彩投影+生日快乐,1715392261228	,	,退款成功,	,	,2025-05-25 13:20:25,否,,	,
